name,avg_time_to_sell,sales_frequency,avg_profit,total_profit,efficiency
StatTrak™ FAMAS | Mecha Industries (Minimal Wear),5.0,1,1.07,1.07,0.0
AWP | Acheron (Minimal Wear),14.33,3,0.35,1.05,0.0
Galil AR | Tuxedo (Minimal Wear),58.4,5,0.21,1.05,0.0
StatTrak™ AK-47 | Slate (Field-Tested),8.0,1,1.05,1.05,0.0
Sticker | Boom Trail,130.27,15,0.07,1.05,0.0
MP7 | Fade (Minimal Wear),4.0,1,1.04,1.04,0.0
StatTrak™ Desert Eagle | Mecha Industries (Field-Tested),5.0,1,1.04,1.04,0.0
Desert Eagle | Trigger Discipline (Minimal Wear),12.75,4,0.25,1.0,0.0
M4A4 | Evil Daimyo (Minimal Wear),36.0,1,1.0,1.0,0.0
Sticker | Vitality (Holo) | Copenhagen 2024,50.0,2,0.5,1.0,0.0
Sticker | Eternal Fire | Copenhagen 2024,19.09,11,0.09,0.99,0.0
Sticker | Cbbl (Holo),9.0,1,0.98,0.98,0.0
StatTrak™ M4A1-S | Emphorosaur-S (Factory New),17.0,2,0.48,0.96,0.0
Sticker | PGL (Holo) | Stockholm 2021,11.5,4,0.24,0.96,0.0
UMP-45 | Arctic Wolf (Factory New),88.0,1,0.96,0.96,0.0
StatTrak™ AWP | Mortis (Minimal Wear),1.0,1,0.94,0.94,0.0
USP-S | Check Engine (Minimal Wear),19.0,4,0.23,0.92,0.0
USP-S | Jawbreaker (Well-Worn),14.0,2,0.46,0.92,0.0
XM1014 | Black Tie (Factory New),59.5,2,0.46,0.92,0.0
MP9 | Arctic Tri-Tone (Field-Tested),15.0,1,0.91,0.91,0.0
Charm | Baby's AK,6.4,5,0.18,0.9,0.0
M4A4 | The Emperor (Field-Tested),8.0,1,0.9,0.9,0.0
MP9 | Mount Fuji (Minimal Wear),6.0,1,0.89,0.89,0.0
AWP | Pit Viper (Minimal Wear),4.0,2,0.43,0.86,0.0
AK-47 | Olive Polycam (Factory New),9.5,2,0.42,0.84,0.0
AK-47 | Slate (Field-Tested),13.83,6,0.14,0.84,0.0
Glock-18 | Vogue (Field-Tested),6.5,2,0.42,0.84,0.0
MP7 | Abyssal Apparition (Field-Tested),13.5,4,0.21,0.84,0.0
USP-S | Cortex (Well-Worn),5.0,2,0.42,0.84,0.0
StatTrak™ AK-47 | Ice Coaled (Field-Tested),8.0,1,0.83,0.83,0.0
Charm | Lil' Teacup,20.5,2,0.41,0.82,0.0
M4A1-S | Fizzy POP (Factory New),73.0,1,0.81,0.81,0.0
P250 | Metallic DDPAT (Factory New),70.0,9,0.09,0.81,0.0
Desert Eagle | Meteorite (Factory New),14.8,5,0.16,0.8,0.0
M4A1-S | Basilisk (Minimal Wear),3.0,1,0.8,0.8,0.0
MP9 | Arctic Tri-Tone (Minimal Wear),9.0,2,0.4,0.8,0.0
Souvenir Glock-18 | High Beam (Factory New),27.0,1,0.8,0.8,0.0
StatTrak™ SSG 08 | Abyss (Minimal Wear),9.5,2,0.4,0.8,0.0
Sticker | Broken Fang (Holo),7.75,4,0.2,0.8,0.0
Desert Eagle | Kumicho Dragon (Field-Tested),14.0,1,0.79,0.79,0.0
Dual Berettas | Hemoglobin (Factory New),16.0,1,0.79,0.79,0.0
StatTrak™ AK-47 | Elite Build (Field-Tested),12.0,1,0.79,0.79,0.0
StatTrak™ USP-S | Cortex (Field-Tested),9.0,1,0.77,0.77,0.0
Charm | POP Art,7.5,2,0.38,0.76,0.0
StatTrak™ Glock-18 | Block-18 (Minimal Wear),33.0,2,0.38,0.76,0.0
Sticker | Say Cheese (Holo),10.5,2,0.38,0.76,0.0
USP-S | Jawbreaker (Battle-Scarred),10.0,1,0.76,0.76,0.0
Zeus x27 | Olympus (Field-Tested),11.5,2,0.38,0.76,0.0
MAC-10 | Pipsqueak (Field-Tested),18.2,5,0.15,0.75,0.0
Desert Eagle | Mecha Industries (Field-Tested),2.0,1,0.74,0.74,0.0
StatTrak™ USP-S | Black Lotus (Field-Tested),8.0,1,0.73,0.73,0.0
Desert Eagle | Light Rail (Minimal Wear),18.67,3,0.24,0.72,0.0
M4A4 | Tooth Fairy (Minimal Wear),1.5,2,0.36,0.72,0.0
Sticker | Boom Blast (Glitter),100.12,8,0.09,0.72,0.0
AK-47 | Wintergreen (Minimal Wear),10.0,1,0.71,0.71,0.0
Shadow Case,1.0,2,0.35,0.7,0.0
Sticker | Bolt Strike (Foil),92.2,5,0.14,0.7,0.0
Glock-18 | Vogue (Minimal Wear),1.0,1,0.69,0.69,0.0
Charm | Lil' Whiskers,7.5,2,0.34,0.68,0.0
Glock-18 | Shinobu (Well-Worn),4.0,2,0.34,0.68,0.0
Markus Delrow | FBI HRT,3.0,1,0.68,0.68,0.0
USP-S | Tropical Breeze (Field-Tested),4.0,1,0.67,0.67,0.0
Charm | Lil' Squatch,11.67,3,0.22,0.66,0.0
Desert Eagle | Mecha Industries (Minimal Wear),7.0,1,0.65,0.65,0.0
StatTrak™ Glock-18 | Vogue (Minimal Wear),6.0,1,0.64,0.64,0.0
Sticker | Complexity Gaming (Holo) | Paris 2023,112.0,7,0.09,0.63,0.0
Dual Berettas | Hydro Strike (Minimal Wear),7.0,1,0.6,0.6,0.0
Dual Berettas | Melondrama (Minimal Wear),7.5,2,0.3,0.6,0.0
Five-SeveN | Monkey Business (Field-Tested),2.0,3,0.2,0.6,0.0
Revolution Case,1.67,6,0.1,0.6,0.0
Sticker | Gold Web,121.17,6,0.1,0.6,0.0
Galil AR | Firefight (Minimal Wear),29.0,1,0.59,0.59,0.0
MP9 | Featherweight (Factory New),16.0,1,0.59,0.59,0.0
M4A4 | Turbine (Field-Tested),7.0,1,0.58,0.58,0.0
P250 | Franklin (Minimal Wear),7.5,2,0.29,0.58,0.0
Sticker | 9INE (Holo) | Paris 2023,19.0,1,0.58,0.58,0.0
Patch | Phoenix,10.0,1,0.57,0.57,0.0
M4A1-S | Mud-Spec (Minimal Wear),25.12,8,0.07,0.56,0.0
SSG 08 | Carbon Fiber (Factory New),45.0,1,0.56,0.56,0.0
Souvenir USP-S | Purple DDPAT (Field-Tested),8.0,1,0.56,0.56,0.0
Zeus x27 | Electric Blue (Factory New),8.0,1,0.56,0.56,0.0
Sticker | FaZe Clan (Glitter) | Antwerp 2022,18.2,5,0.11,0.55,0.0
Sticker | Coiled Strike (Holo),135.67,6,0.09,0.54,0.0
SSG 08 | Fever Dream (Minimal Wear),10.0,1,0.53,0.53,0.0
SSG 08 | Fever Dream (Factory New),3.5,2,0.26,0.52,0.0
M4A1-S | Decimator (Field-Tested),14.0,1,0.5,0.5,0.0
AK-47 | Steel Delta (Field-Tested),16.0,1,0.49,0.49,0.0
Charm | Pinch O' Salt,4.0,3,0.16,0.48,0.0
Sticker | FaZe Clan (Holo) | Paris 2023,53.0,16,0.03,0.48,0.0
Nova | Wurst Hölle (Field-Tested),29.5,2,0.23,0.46,0.0
Tec-9 | Bamboozle (Minimal Wear),3.0,1,0.46,0.46,0.0
AWP | Black Nile (Minimal Wear),2.0,1,0.44,0.44,0.0
Falchion Case,11.0,1,0.44,0.44,0.0
Sticker | Complexity Gaming (Glitter) | Paris 2023,18.75,4,0.11,0.44,0.0
USP-S | Flashback (Factory New),19.0,2,0.22,0.44,0.0
AWP | Acheron (Field-Tested),10.0,1,0.43,0.43,0.0
Glock-18 | Candy Apple (Field-Tested),7.0,1,0.43,0.43,0.0
MP9 | Bioleak (Factory New),9.0,1,0.43,0.43,0.0
Charm | Lil' Crass,5.33,3,0.14,0.42,0.0
M4A4 | Spider Lily (Minimal Wear),8.0,1,0.42,0.42,0.0
Sergeant Bombson | SWAT,7.0,1,0.42,0.42,0.0
Sticker | Imperial Esports (Glitter) | Antwerp 2022,15.4,5,0.08,0.4,0.0
USP-S | Ticket to Hell (Field-Tested),4.75,4,0.1,0.4,0.0
StatTrak™ Desert Eagle | Blue Ply (Field-Tested),11.0,1,0.39,0.39,0.0
Dual Berettas | Melondrama (Field-Tested),16.5,2,0.18,0.36,0.0
Galil AR | NV (Factory New),5.0,3,0.12,0.36,0.0
M4A1-S | Night Terror (Minimal Wear),15.33,6,0.06,0.36,0.0
Sticker | Lynn Vision (Glitter) | Copenhagen 2024,98.11,9,0.04,0.36,0.0
Street Soldier | Phoenix,39.75,12,0.03,0.36,0.0
Sawed-Off | Analog Input (Field-Tested),3.0,1,0.34,0.34,0.0
Sticker | Battle Scarred (Holo),6.5,2,0.17,0.34,0.0
Sticker | Vitality (Foil) | 2020 RMR,21.0,1,0.34,0.34,0.0
M4A1-S | Nitro (Field-Tested),27.0,3,0.11,0.33,0.0
Sticker | Apeks (Holo) | Paris 2023,120.33,3,0.11,0.33,0.0
Zeus x27 | Tosai (Field-Tested),5.67,3,0.11,0.33,0.0
Nova | Candy Apple (Factory New),1.0,2,0.16,0.32,0.0
Sticker | Bad News Eagles (Holo) | Paris 2023,16.0,2,0.16,0.32,0.0
Sticker | G2 Esports (Holo) | Paris 2023,139.5,16,0.02,0.32,0.0
Sticker | Vitality (Glitter) | Copenhagen 2024,12.0,2,0.16,0.32,0.0
Sticker | s1mple (Holo) | Stockholm 2021,116.88,8,0.04,0.32,0.0
Five-SeveN | Angry Mob (Field-Tested),2.0,1,0.3,0.3,0.0
Galil AR | Metallic Squeezer (Minimal Wear),35.0,1,0.3,0.3,0.0
Sticker | Web Stuck,10.67,3,0.1,0.3,0.0
Sticker | ropz (Glitter) | Shanghai 2024,51.0,1,0.3,0.3,0.0
AWP | PAW (Minimal Wear),7.0,1,0.29,0.29,0.0
StatTrak™ MAC-10 | Sakkaku (Field-Tested),30.0,1,0.29,0.29,0.0
AK-47 | Elite Build (Minimal Wear),6.0,1,0.28,0.28,0.0
M4A4 | Tooth Fairy (Field-Tested),31.5,2,0.14,0.28,0.0
Charm | Lil' Ava,63.22,9,0.03,0.27,0.0
M4A4 | In Living Color (Field-Tested),8.0,1,0.27,0.27,0.0
MP5-SD | Kitbash (Minimal Wear),18.0,3,0.09,0.27,0.0
Sticker | DreamEaters | Berlin 2019,5.0,1,0.27,0.27,0.0
Horizon Case,5.0,1,0.26,0.26,0.0
StatTrak™ AK-47 | Uncharted (Field-Tested),10.0,1,0.26,0.26,0.0
Patch | Shattered Web,8.0,1,0.25,0.25,0.0
Sticker | Hydro Stream,19.2,5,0.05,0.25,0.0
AK-47 | Elite Build (Field-Tested),8.0,2,0.12,0.24,0.0
Copenhagen 2024 Champions Autograph Capsule,19.67,6,0.04,0.24,0.0
Desert Eagle | Crimson Web (Field-Tested),5.0,1,0.24,0.24,0.0
M4A4 | Urban DDPAT (Minimal Wear),12.0,1,0.24,0.24,0.0
MP7 | Anodized Navy (Factory New),9.0,1,0.24,0.24,0.0
Sticker | KOI (Glitter) | Copenhagen 2024,61.67,24,0.01,0.24,0.0
Charm | Lil' Sandy,24.0,1,0.23,0.23,0.0
Sticker | Renegades (Holo) | 2020 RMR,1.0,1,0.23,0.23,0.0
Sticker | Chompers,7.0,1,0.22,0.22,0.0
Sticker | Co Co Co,37.0,2,0.11,0.22,0.0
AK-47 | The Empress (Well-Worn),2.0,1,0.21,0.21,0.0
MP9 | Ruby Poison Dart (Factory New),2.0,1,0.2,0.2,0.0
Shanghai 2024 Champions Autograph Capsule,67.2,20,0.01,0.2,0.0
Sticker | Imperial Esports (Holo) | Copenhagen 2024,106.5,2,0.1,0.2,0.0
Nova | Wurst Hölle (Minimal Wear),10.0,1,0.18,0.18,0.0
Paris 2023 Legends Sticker Capsule,17.0,9,0.02,0.18,0.0
Rio 2022 Legends Sticker Capsule,11.0,2,0.09,0.18,0.0
Stockholm 2021 Champions Autograph Capsule,8.0,1,0.18,0.18,0.0
10 Year Birthday Sticker Capsule,48.0,1,0.17,0.17,0.0
MP7 | Bloodsport (Minimal Wear),7.0,1,0.17,0.17,0.0
MAC-10 | Candy Apple (Factory New),2.5,2,0.08,0.16,0.0
MP9 | Army Sheen (Factory New),6.0,1,0.16,0.16,0.0
Sticker | Hydro Wave,15.0,2,0.08,0.16,0.0
Sticker | Into The Breach (Gold) | Paris 2023,77.0,1,0.16,0.16,0.0
Sticker | frozen | Berlin 2019,73.0,1,0.16,0.16,0.0
Five-SeveN | Silver Quartz (Factory New),4.0,1,0.15,0.15,0.0
SG 553 | Ol' Rusty (Factory New),1.0,1,0.15,0.15,0.0
Sticker | Coiled Strike,16.67,3,0.05,0.15,0.0
XM1014 | Zombie Offensive (Factory New),17.0,1,0.15,0.15,0.0
M4A4 | Etch Lord (Field-Tested),3.0,1,0.14,0.14,0.0
Sticker | FaZe Clan (Glitter) | Copenhagen 2024,17.0,1,0.14,0.14,0.0
P250 | Visions (Field-Tested),7.0,1,0.13,0.13,0.0
AK-47 | Elite Build (Well-Worn),2.0,1,0.12,0.12,0.0
Galil AR | Rocket Pop (Minimal Wear),5.0,1,0.12,0.12,0.0
SG 553 | Anodized Navy (Factory New),14.5,2,0.06,0.12,0.0
Sticker | G2 Esports (Glitter) | Copenhagen 2024,44.5,2,0.06,0.12,0.0
Sticker | Ribbon Tie,35.0,3,0.04,0.12,0.0
Operation Broken Fang Case,58.8,10,0.01,0.1,0.0
R8 Revolver | Amber Fade (Minimal Wear),156.0,1,0.1,0.1,0.0
SSG 08 | Zeno (Field-Tested),15.0,1,0.1,0.1,0.0
StatTrak™ Glock-18 | Block-18 (Field-Tested),19.0,1,0.1,0.1,0.0
Sticker | Conspiracy Club (Holo),142.0,1,0.09,0.09,0.0
UMP-45 | Wild Child (Field-Tested),18.0,1,0.09,0.09,0.0
M4A4 | Converter (Minimal Wear),72.0,1,0.08,0.08,0.0
Sticker | Spirit (Holo) | 2020 RMR,19.5,2,0.04,0.08,0.0
USP-S | 27 (Minimal Wear),15.5,2,0.04,0.08,0.0
AUG | Surveillance (Factory New),21.0,1,0.07,0.07,0.0
Shanghai 2024 Challengers Sticker Capsule,35.0,1,0.07,0.07,0.0
AK-47 | Olive Polycam (Minimal Wear),10.0,1,0.06,0.06,0.0
SSG 08 | Abyss (Minimal Wear),23.0,1,0.06,0.06,0.0
Sticker | Cloud9 | Copenhagen 2024,59.33,3,0.02,0.06,0.0
Sticker | Ninjas in Pyjamas (Holo) | Paris 2023,17.0,1,0.05,0.05,0.0
AWP | PAW (Field-Tested),61.0,1,0.04,0.04,0.0
"Sticker | ZywOo (Glitter, Champion) | Paris 2023",23.5,4,0.01,0.04,0.0
MP7 | Abyssal Apparition (Minimal Wear),9.0,1,0.03,0.03,0.0
StatTrak™ SSG 08 | Fever Dream (Factory New),63.33,3,0.01,0.03,0.0
SG 553 | Dragon Tech (Factory New),15.0,1,0.02,0.02,0.0
Sticker | Heroic (Holo) | Paris 2023,24.0,1,0.02,0.02,0.0
Sticker | Dreams And Mimics,48.0,1,0.01,0.01,0.0
Kilowatt Case,16.21,29,0.0,0.0,0.0
MAG-7 | Foresight (Minimal Wear),28.0,2,0.0,0.0,0.0
Shanghai 2024 Legends Sticker Capsule,29.47,30,0.0,0.0,0.0
Sticker | Bad News Eagles (Glitter) | Antwerp 2022,122.0,4,-0.0,-0.0,0.0
Sticker | OG (Glitter) | Rio 2022,129.5,2,-0.0,-0.0,0.0
Sticker | Scorch Loop (Reverse),117.67,15,-0.0,-0.0,0.0
Sticker | Cloud9 (Glitter) | Antwerp 2022,48.3,10,-0.01,-0.1,0.0
Michael Syfers  | FBI Sniper,35.0,4,-0.03,-0.12,0.0
Desert Eagle | Tilted (Battle-Scarred),160.0,2,-0.08,-0.16,0.0
Sticker | Glare,127.0,4,-0.04,-0.16,0.0
Sticker | Natus Vincere (Holo) | Paris 2023,78.06,17,-0.01,-0.17,0.0
Charm | Hot Hands,65.0,2,-0.1,-0.2,0.0
UMP-45 | Blaze (Factory New),52.0,1,-0.2,-0.2,0.0
USP-S | Alpine Camo (Field-Tested),28.08,12,-0.02,-0.24,0.0
Desert Eagle | Corinthian (Factory New),31.5,2,-0.14,-0.28,0.0
Sticker | ropz (Glitter) | Copenhagen 2024,90.57,14,-0.03,-0.42,0.0
Sticker | PGL (Holo) | Copenhagen 2024,209.33,3,-0.15,-0.45,0.0
Sticker | Dragon Lore (Foil),122.0,2,-0.3,-0.6,0.0
Berlin 2019 Minor Challengers Autograph Capsule,104.0,1,-0.68,-0.68,0.0
Sticker | Kawaii Eyes (Glitter),97.0,4,-0.24,-0.96,0.0
Sticker | Team Liquid (Holo) | Paris 2023,19.75,12,-0.08,-0.96,0.0
StatTrak™ AK-47 | Redline (Field-Tested),93.0,1,-1.01,-1.01,0.0
Glock-18 | Teal Graf (Field-Tested),74.0,4,-0.31,-1.24,0.0
Fever Case,7.76,21,-0.06,-1.26,0.0
Sticker | GODSENT (Holo) | Stockholm 2021,82.0,8,-0.17,-1.36,0.0
Sticker | MOUZ (Holo) | Paris 2023,140.0,15,-0.12,-1.8,0.0
Sticker | Winding Scorch,111.53,17,-0.11,-1.87,0.0
Desert Eagle | Heat Treated (Battle-Scarred),113.17,6,-0.32,-1.92,0.0
Trapper Aggressor | Guerrilla Warfare,49.6,10,-0.24,-2.4,0.0
Sticker | PGL (Glitter) | Antwerp 2022,145.85,13,-0.21,-2.73,0.0
P2000 | Amber Fade (Factory New),58.83,6,-0.46,-2.76,0.0
Desert Eagle | Heat Treated (Minimal Wear),47.45,31,-0.15,-4.65,0.0
★ Gut Knife | Doppler (Factory New),4.0,1,-7.88,-7.88,0.0
Desert Eagle | Heat Treated (Field-Tested),63.26,27,-0.34,-9.18,0.0
Desert Eagle | Heat Treated (Well-Worn),68.44,27,-0.41,-11.07,0.0
Shanghai 2024 Contenders Sticker Capsule,141.0,15,-0.8,-12.0,0.0
AK-47 | The Outsiders (Minimal Wear),42.0,3,-6.92,-20.76,0.0
